Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,"['https://www.semanticscholar.org/author/A.-Gretton/1708497', 'https://www.semanticscholar.org/author/Danica-J.-Sutherland/36326783', 'https://www.semanticscholar.org/author/H.-Tung/1693704']","[{'Publications': '230', 'h-index': '55', 'Citations': '18,187', 'Highly Influential Citations': '2,880'}, {'Publications': '41', 'h-index': '16', 'Citations': '1,174', 'Highly Influential Citations': '176'}, {'Publications': '28', 'h-index': '9', 'Citations': '667', 'Highly Influential Citations': '57'}]"
A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,"['https://www.semanticscholar.org/author/Kevin-Gimpel/1700980', 'https://www.semanticscholar.org/author/Dan-Hendrycks/3422872']","[{'Publications': '116', 'h-index': '35', 'Citations': '9,567', 'Highly Influential Citations': '1,470'}, {'Publications': '34', 'h-index': '19', 'Citations': '4,305', 'Highly Influential Citations': '860'}]"
MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,"['https://www.semanticscholar.org/author/Bhaskar-Mitra/116506812', 'https://www.semanticscholar.org/author/Tri-Nguyen/2116109215', 'https://www.semanticscholar.org/author/Daniel-Fernando-Campos/144081089']","[{'Publications': '50', 'h-index': '22', 'Citations': '3,055', 'Highly Influential Citations': '389'}, {'Publications': '2', 'h-index': '1', 'Citations': '771', 'Highly Influential Citations': '155'}, {'Publications': '20', 'h-index': '7', 'Citations': '1,039', 'Highly Influential Citations': '200'}]"
Dynamic Steerable Frame Networks,"['https://www.semanticscholar.org/author/Bert-De-Brabandere/3384995', 'https://www.semanticscholar.org/author/J.-Jacobsen/51919565', 'https://www.semanticscholar.org/author/A.-Smeulders/144638781']","[{'Publications': '15', 'h-index': '12', 'Citations': '1,491', 'Highly Influential Citations': '190'}, {'Publications': '41', 'h-index': '21', 'Citations': '1,919', 'Highly Influential Citations': '218'}, {'Publications': '509', 'h-index': '61', 'Citations': '30,584', 'Highly Influential Citations': '2,122'}]"
 A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,"['https://www.semanticscholar.org/author/Yanjun-Qi/1791105', 'https://www.semanticscholar.org/author/Ji-Gao/38637026', 'https://www.semanticscholar.org/author/Beilun-Wang/3407212']","[{'Publications': '87', 'h-index': '28', 'Citations': '3,904', 'Highly Influential Citations': '336'}, {'Publications': '15', 'h-index': '4', 'Citations': '314', 'Highly Influential Citations': '36'}, {'Publications': '25', 'h-index': '5', 'Citations': '233', 'Highly Influential Citations': '13'}]"
Efficient Vector Representation for Documents through Corruption,['https://www.semanticscholar.org/author/Minmin-Chen/1743082'],"[{'Publications': '46', 'h-index': '20', 'Citations': '2,504', 'Highly Influential Citations': '368'}]"
Adversarial Training Methods for Semi-Supervised Text Classification,"['https://www.semanticscholar.org/author/I.-Goodfellow/153440022', 'https://www.semanticscholar.org/author/Takeru-Miyato/3213400', 'https://www.semanticscholar.org/author/Andrew-M.-Dai/2555924']","[{'Publications': '117', 'h-index': '64', 'Citations': '102,847', 'Highly Influential Citations': '14,315'}, {'Publications': '18', 'h-index': '12', 'Citations': '5,077', 'Highly Influential Citations': '935'}, {'Publications': '59', 'h-index': '25', 'Citations': '6,279', 'Highly Influential Citations': '742'}]"
Neural Architecture Search with Reinforcement Learning,"['https://www.semanticscholar.org/author/Barret-Zoph/2368067', 'https://www.semanticscholar.org/author/Quoc-V.-Le/2827616']","[{'Publications': '37', 'h-index': '25', 'Citations': '14,787', 'Highly Influential Citations': '2,384'}, {'Publications': '205', 'h-index': '94', 'Citations': '80,087', 'Highly Influential Citations': '9,952'}]"
Decomposing Motion and Content for Natural Video Sequence Prediction,"['https://www.semanticscholar.org/author/Jimei-Yang/1768964', 'https://www.semanticscholar.org/author/Ruben-Villegas/144543406', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141', 'https://www.semanticscholar.org/author/Seunghoon-Hong/2241528', 'https://www.semanticscholar.org/author/Xunyu-Lin/10668384']","[{'Publications': '79', 'h-index': '40', 'Citations': '8,531', 'Highly Influential Citations': '1,255'}, {'Publications': '19', 'h-index': '11', 'Citations': '1,633', 'Highly Influential Citations': '237'}, {'Publications': '180', 'h-index': '69', 'Citations': '33,153', 'Highly Influential Citations': '3,789'}, {'Publications': '29', 'h-index': '18', 'Citations': '4,132', 'Highly Influential Citations': '368'}, {'Publications': '5', 'h-index': '4', 'Citations': '632', 'Highly Influential Citations': '104'}]"
Maximum Entropy Flow Networks,"['https://www.semanticscholar.org/author/Gabriel-Loaiza-Ganem/1417035074', 'https://www.semanticscholar.org/author/J.-Cunningham/2575774', 'https://www.semanticscholar.org/author/Yuanjun-Gao/3378078']","[{'Publications': '8', 'h-index': '4', 'Citations': '69', 'Highly Influential Citations': '2'}, {'Publications': '129', 'h-index': '36', 'Citations': '7,118', 'Highly Influential Citations': '559'}, {'Publications': '12', 'h-index': '5', 'Citations': '812', 'Highly Influential Citations': '72'}]"
