title,link,info
Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,['https://www.semanticscholar.org/paper/Generative-Models-and-Model-Criticism-via-Optimized-Sutherland-Tung/d772a21f2f687985b41bec2dc47bc2760c57ed2f'],"[{'Citations': 148, 'Highly Influential Citations': '19', 'Background Citations': '68', 'Methods Citations': '73', 'Results Citations': '4'}]"
A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,['https://www.semanticscholar.org/paper/A-Baseline-for-Detecting-Misclassified-and-Examples-Hendrycks-Gimpel/6ff2a434578ff2746b9283e45abf296887f48a2d'],"[{'Citations': 880, 'Highly Influential Citations': '225', 'Background Citations': '459', 'Methods Citations': '454', 'Results Citations': '33'}]"
MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,['https://www.semanticscholar.org/paper/MS-MARCO%3A-A-Human-Generated-MAchine-Reading-Dataset-Campos-Nguyen/a69cf45d44a9d806d2487a1ffb9eca71ee73c2ee'],"[{'Citations': 771, 'Highly Influential Citations': '155', 'Background Citations': '335', 'Methods Citations': '289', 'Results Citations': '11'}]"
Dynamic Steerable Frame Networks,['https://www.semanticscholar.org/paper/Dynamic-Steerable-Frame-Networks-Jacobsen-Brabandere/be368d10c632531400b85a526ece0d4787d577b7'],[{'Citations': 0}]
 A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,['https://www.semanticscholar.org/paper/A-Theoretical-Framework-for-Robustness-of-(Deep)-Wang-Gao/3d8b23e18d74eef633ce03ef73d7df588245a698'],"[{'Citations': 36, 'Highly Influential Citations': '3', 'Background Citations': '22', 'Methods Citations': '2', 'Results Citations': '1'}]"
Efficient Vector Representation for Documents through Corruption,['https://www.semanticscholar.org/paper/Efficient-Vector-Representation-for-Documents-Chen/67b60c720e9691c0d98dbd0b9004e99e6da3fc47'],"[{'Citations': 84, 'Highly Influential Citations': '18', 'Background Citations': '36', 'Methods Citations': '36', 'Results Citations': '6'}]"
Adversarial Training Methods for Semi-Supervised Text Classification,['https://www.semanticscholar.org/paper/Adversarial-Training-Methods-for-Semi-Supervised-Miyato-Dai/2cd55ded95d5d13430edfa223ba591b514ebe8a5'],"[{'Citations': 439, 'Highly Influential Citations': '74', 'Background Citations': '210', 'Methods Citations': '193', 'Results Citations': '15'}]"
Neural Architecture Search with Reinforcement Learning,['https://www.semanticscholar.org/paper/Neural-Architecture-Search-with-Reinforcement-Zoph-Le/67d968c7450878190e45ac7886746de867bf673d'],"[{'Citations': 2794, 'Highly Influential Citations': '374', 'Background Citations,': '1251', 'Methods Citations,': '1160', 'Results Citations': '35'}]"
Decomposing Motion and Content for Natural Video Sequence Prediction,['https://www.semanticscholar.org/paper/Decomposing-Motion-and-Content-for-Natural-Video-Villegas-Yang/b8375ff50b8a6f1a10dd809129a18df96888ac8b'],"[{'Citations': 354, 'Highly Influential Citations': '69', 'Background Citations': '204', 'Methods Citations': '155', 'Results Citations': '19'}]"
Maximum Entropy Flow Networks,['https://www.semanticscholar.org/paper/Maximum-Entropy-Flow-Networks-Loaiza-Ganem-Gao/b88e7d3ecbc62baaf3959fb62702e68790e2bfa6'],"[{'Citations': 27, 'Background Citations': '9', 'Methods Citations': '8'}]"
beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,['https://www.semanticscholar.org/paper/beta-VAE%3A-Learning-Basic-Visual-Concepts-with-a-Higgins-Matthey/a90226c41b79f8b06007609f39f82757073641e2'],"[{'Citations': 2066, 'Highly Influential Citations': '336', 'Background Citations,': '1147', 'Methods Citations': '754', 'Results Citations': '61'}]"
Soft Weight-Sharing for Neural Network Compression,['https://www.semanticscholar.org/paper/Soft-Weight-Sharing-for-Neural-Network-Compression-Ullrich-Meeds/6c018075720da00d81938bec1c1d2cde42f19d7d'],"[{'Citations': 265, 'Highly Influential Citations': '28', 'Background Citations': '123', 'Methods Citations': '111', 'Results Citations': '7'}]"
