institution,csranking
Carnegie Mellon University,1
Univ. of California - Berkeley,2
Univ. of California - San Diego,2
Univ. of Illinois at Urbana-Champaign,2
Cornell University,5
Stanford University,5
Tsinghua University,5
Massachusetts Institute of Technology,8
University of Washington,8
ETH Zurich,10
University of Michigan,10
University of Maryland - College Park,12
Georgia Institute of Technology,13
Peking University,14
National University of Singapore,15
University of Pennsylvania,15
University of Wisconsin - Madison,15
KAIST,18
Northeastern University,18
University of Texas at Austin,18
Columbia University,21
Max Planck Society,21
New York University,21
Technion,21
University of Massachusetts Amherst,21
University of Toronto,21
EPFL,27
Purdue University,27
University of Southern California,27
Chinese Academy of Sciences,30
HKUST,30
Princeton University,30
Rutgers University,30
Tel Aviv University,30
Univ. of California - Los Angeles,30
Univ. of California - Santa Barbara,30
University of Edinburgh,30
University of Waterloo,30
Chinese University of Hong Kong,39
Duke University,39
Nanyang Technological University,39
Pennsylvania State University,39
Seoul National University,39
Shanghai Jiao Tong University,39
Stony Brook University,39
Univ. of California - Irvine,39
University of Oxford,39
Zhejiang University,39
Harvard University,49
Imperial College London,49
Nanjing University,49
Northwestern University,49
Simon Fraser University,49
Texas A&M University,49
University College London,49
University of Illinois at Chicago,49
Johns Hopkins University,57
Ohio State University,57
TU Darmstadt,57
TU Munich,57
Univ. of California - Santa Cruz,57
University at Buffalo,57
University of Chicago,57
University of Colorado Boulder,57
University of Tokyo,57
University of Virginia,57
Fudan University,67
Hebrew University of Jerusalem,67
Indiana University,67
Oregon State University,67
Singapore Management University,67
Univ. of California - Riverside,67
University of British Columbia,67
University of Central Florida,67
University of Melbourne,67
University of Minnesota,67
University of North Carolina,67
University of Pittsburgh,67
University of Sydney,67
University of Technology Sydney,67
University of Utah,67
Aarhus University,82
Arizona State University,82
Bar-Ilan University,82
Boston University,82
Monash University,82
North Carolina State University,82
Renmin University of China,82
Saarland University,82
Univ. of California - Davis,82
University of Cambridge,82
University of Copenhagen,82
Virginia Tech,82
Yale University,82
Australian National University,95
Beihang University,95
Brown University,95
CISPA Helmholtz Center,95
CRIStAL,95
Ecole Normale Superieure,95
George Mason University,95
Graz University of Technology,95
IISc Bangalore,95
IST Austria,95
KAUST,95
McGill University,95
National Taiwan University,95
Rice University,95
SUTD,95
Sapienza University of Rome,95
TU Delft,95
TU Wien,95
USTC,95
Universidade de Lisboa,95
University of Adelaide,95
University of Alberta,95
University of Hong Kong,95
University of Liverpool,95
University of Rochester,95
University of Stuttgart,95
University of Texas at Dallas,95
University of Tsukuba,95
University of Warwick,95
Weizmann Institute of Science,95
Aalto University,125
California Institute of Technology,125
Czech Technical University,125
Harbin Institute of Technology,125
Hasso Plattner Institute,125
IIT Delhi,125
IIT Kanpur,125
KU Leuven,125
Michigan State University,125
NWPU,125
POSTECH,125
Politecnico di Milano,125
RWTH Aachen,125
Rochester Institute of Technology,125
Royal Holloway University of London,125
Shandong University,125
Sun Yat-sen University,125
TTI Chicago,125
TU Berlin,125
The Hong Kong Polytechnic University,125
UESTC,125
UNSW,125
Univ. of California - Merced,125
University of Amsterdam,125
University of Birmingham,125
University of Bonn,125
University of Bremen,125
University of Bristol,125
University of Freiburg,125
University of Montreal,125
University of Notre Dame,125
University of Texas at Arlington,125
University of Trento,125
University of Tübingen,125
University of Warsaw,125
University of Zurich,125
Washington University in St. Louis,125
Ben-Gurion University of the Negev,162
Binghamton University,162
Cardiff University,162
Chalmers/GU,162
City University of Hong Kong,162
Clemson University,162
Dartmouth College,162
Ecole Normale Superieure de Lyon,162
Emory University,162
Florida State University,162
Georgetown University,162
Heidelberg University,162
IIIT Hyderabad,162
IIT Bombay,162
IIT Kharagpur,162
IIT Madras,162
