institution,ranking
University of Oxford,1
California Institute of Technology,2
University of Cambridge,3
Stanford University,4
Massachusetts Institute of Technology,5
Princeton University,6
Harvard University,7
Yale University,8
University of Chicago,9
Imperial College London,10
University of Pennsylvania,11
Johns Hopkins University,12
ETH Zurich,13
"University of California, Berkeley",13
UCL,15
Columbia University,16
"University of California, Los Angeles",17
University of Toronto,18
Cornell University,19
Duke University,20
University of Michigan-Ann Arbor,21
Northwestern University,22
Tsinghua University,23
Peking University,24
National University of Singapore,25
University of Washington,26
London School of Economics and Political Science,27
Carnegie Mellon University,27
New York University,29
University of Edinburgh,30
"University of California, San Diego",31
University of Melbourne,32
LMU Munich,32
University of British Columbia,34
University of Hong Kong,35
The University of Tokyo,36
King’s College London,36
University of Texas at Austin,38
Georgia Institute of Technology,38
École Polytechnique Fédérale de Lausanne,38
Karolinska Institute,41
McGill University,42
Technical University of Munich,43
Heidelberg University,44
Paris Sciences et Lettres – PSL Research University Paris,45
KU Leuven,45
The Hong Kong University of Science and Technology,47
University of Illinois at Urbana-Champaign,48
"Nanyang Technological University, Singapore",49
Australian National University,50
University of Wisconsin-Madison,51
Washington University in St Louis,52
Brown University,53
University of North Carolina at Chapel Hill,54
University of Manchester,55
"University of California, Davis",55
Chinese University of Hong Kong,57
"University of California, Santa Barbara",57
Wageningen University & Research,59
University of Sydney,60
Boston University,61
University of Southern California,62
University of Amsterdam,62
Seoul National University,64
Kyoto University,65
The University of Queensland,66
Leiden University,67
Delft University of Technology,67
Erasmus University Rotterdam,69
Ohio State University (Main campus),70
UNSW Sydney,71
McMaster University,72
Humboldt University of Berlin,73
University of Groningen,73
Utrecht University,75
Monash University,75
University of Warwick,77
Penn State (Main campus),78
University of Minnesota,79
Sorbonne University,80
University of Science and Technology of China,80
Emory University,80
Charité - Universitätsmedizin Berlin,80
Michigan State University,84
University of Freiburg,85
University of Montreal,85
University of Bristol,87
Purdue University West Lafayette,88
Sungkyunkwan University (SKKU),89
University of Zurich,90
University of Tübingen,91
"University of Maryland, College Park",91
École Polytechnique,93
Dartmouth College,94
University of Basel,94
University of Helsinki,96
"University of California, Irvine",96
RWTH Aachen University,98
University of Glasgow,98
Lund University,98
University of Copenhagen,101
Uppsala University,102
University of Arizona,103
Georgetown University,103
Rice University,105
University of Bonn,106
Zhejiang University,107
University of Virginia (Main campus),107
Fudan University,109
Queen Mary University of London,110
Korea Advanced Institute of Science and Technology (KAIST),110
University of Birmingham,112
University of Pittsburgh-Pittsburgh campus,113
University of Bern,113
Vanderbilt University,115
Aarhus University,115
University of Sheffield,117
Free University of Berlin,117
Case Western Reserve University,119
National Taiwan University,120
University of Adelaide,120
University of Southampton,122
University of Göttingen,123
University of Colorado Boulder,123
Ghent University,123
City University of Hong Kong,126
Maastricht University,127
University of York,128
Radboud University Nijmegen,128
University of Paris,130
University of Western Australia,131
University of Oslo,131
Durham University,133
University of Vienna,134
Indiana University,134
University of Cape Town,136
University of Alberta,136
Vrije Universiteit Amsterdam,138
Tufts University,139
Lancaster University,140
Pompeu Fabra University,141
Ulm University,141
University of Ottawa,141
Nanjing University,144
University of Geneva,144
University of Sussex,146
Pohang University of Science and Technology (POSTECH),146
University of Exeter,146
Technical University of Berlin,149
Sant’Anna School of Advanced Studies – Pisa,149
University of Hamburg,149
Scuola Normale Superiore di Pisa,152
University of Nottingham,152
Université Catholique de Louvain,152
University of Leeds,155
Arizona State University (Tempe),155
TU Dresden,157
Shanghai Jiao Tong University,157
University of Notre Dame,157
University of Mannheim,157
University of Cologne,157
Autonomous University of Barcelona,157
University of Würzburg,163
Trinity College Dublin,164
University of Liverpool,165
University of Leicester,166
Bielefeld University,166
"Rutgers, the State University of New Jersey",168
University of Bologna,168
University of Aberdeen,168
Hong Kong Polytechnic University,171
University of Alabama at Birmingham,172
University of Rochester,173
Stockholm University,174
Karlsruhe Institute of Technology,174
University of Florida,174
University of Auckland,177
Texas A&M University,177
Queensland University of Technology,179
Korea University,179
"University of California, Santa Cruz",179
Technical University of Denmark,182
Aalto University,182
University of Erlangen-Nuremberg,182
University of Gothenburg,185
Eindhoven University of Technology,185
Télécom Paris,187
Tel Aviv University,188
University of Münster,188
Lomonosov Moscow State University,188
University of Canberra,191
University of East Anglia,191
University of the Witwatersrand,193
University of Technology Sydney,193
University of Duisburg-Essen,193
Cardiff University,196
Yonsei University (Seoul campus),196
University of Lausanne,198
George Washington University,198
University of Antwerp,198
University of Luxembourg,201
University of St Andrews,201
Newcastle University,203
Queen’s University Belfast,204
Macquarie University,204
Western University,206
Ulsan National Institute of Science and Technology (UNIST),206
Aalborg University,206
University of Massachusetts,209
University of Calgary,210
University of Bergen,211
University of Hohenheim,212
University of Barcelona,213
RCSI University of Medicine and Health Sciences,214
École Normale Supérieure de Lyon,214
Hebrew University of Jerusalem,216
University of South Florida (Tampa),217
University of Otago,218
Vita-Salute San Raffaele University,219
University of Utah,219
King Abdulaziz University,219
Tilburg University,222
KTH Royal Institute of Technology,222
University of Konstanz,224
Medical University of Vienna,225
Medical University of Graz,225
Paris-Sud University,227
University of Iowa,227
University of Reading,229
University of Miami,229
Université libre de Bruxelles,229
University of Dundee,232
University of Hawai’i at Mānoa,233
Moscow Institute of Physics and Technology (MIPT),234
University of Wollongong,235
William & Mary,235
University of Waterloo,235
Vrije Universiteit Brussel,235
Howard University,235
Virginia Polytechnic Institute and State University,240
University of Padua,240
Griffith University,240
Copenhagen Business School,240
University College Dublin,244
James Cook University,244
Brandeis University,244
University of Twente,247
"St George’s, University of London",247
"University of California, Riverside",249
Wake Forest University,249
HSE University,251
University of Passau,252
University of South Australia,253
University of Illinois at Chicago,254
Chalmers University of Technology,255
Alfaisal University,256
Curtin University,257
Sapienza University of Rome,258
Queen’s University,258
Tohoku University,260
University of Surrey,260
University of Cincinnati,260
University at Buffalo,263
École des Ponts ParisTech,264
Auckland University of Technology,264
Swansea University,266
University of São Paulo,266
Oregon Health and Science University,266
University of Navarra,269
Flinders University,269
Dalhousie University,269
Simon Fraser University,272
University of Potsdam,272
Medical University of Innsbruck,272
Laval University,272
University of Essex,272
University of Kiel,277
Florida State University,277
Ruhr University Bochum,279
University of Bath,279
University of Southern Denmark,281
"Royal Holloway, University of London",282
Macau University of Science and Technology,282
George Mason University,282
Western Sydney University,285
Tampere University,285
Autonomous University of Madrid,287
University of Oregon,288
Technical University of Darmstadt,289
La Trobe University,289
University of Oulu,291
Syracuse University,292
University of Stuttgart,292
Brighton and Sussex Medical School,292
University of Delaware,295
Heriot-Watt University,296
Stellenbosch University,297
"National University of Ireland, Galway",298
Tokyo Institute of Technology,299
Sun Yat-sen University,299
University of New Mexico (Main campus),301
Indian Institute of Science,301
Anglia Ruskin University ARU,301
Stony Brook University,304
Goethe University Frankfurt,305
University of Fribourg,305
University of Trento,307
University of Macau,307
Johannes Gutenberg University of Mainz,307
North Carolina State University,310
Temple University,311
University of Newcastle,311
United Arab Emirates University,313
Swedish University of Agricultural Sciences,313
Nova Southeastern University,313
Huazhong University of Science and Technology,313
Southern University of Science and Technology (SUSTech),317
Nagoya University,317
University of Texas at Dallas,319
University of Tartu,319
Kyung Hee University,319
University of Klagenfurt,319
Maynooth University,323
University of Marburg,323
University of Malaya,323
Boston College,323
Tulane University,327
Cyprus University of Technology,328
University of Liège,329
Grenoble Alpes University,329
Aix-Marseille University,329
The University of Tennessee-Knoxville,332
Reykjavík University,332
Deakin University,332
Jacobs University,335
Rush University,336
University of Milan,336
University of Canterbury,336
Beijing Normal University,339
Umeå University,340
University College Cork,341
Università della Svizzera Italiana,341
Osaka University,343
Colorado School of Mines,343
University of Tasmania,345
Montpellier University,345
Polytechnic University of Milan,347
Victoria University,348
Indian Institute of Technology Ropar,348
Wayne State University,350
University of Stirling,350
State University of New York Albany,350
University of Denver,350
Wuhan University,354
University of Turku,354
TU Dortmund University,354
"University of California, Merced",354
Washington State University,358
Université de Versailles Saint-Quentin-en-Yvelines,358
TU Wien,360
University of Bremen,360
Khalifa University,362
"Birkbeck, University of London",362
University of Kent,364
National Tsing Hua University,365
Taipei Medical University,366
University of Pisa,366
Nankai University,366
University of Iceland,366
"Goldsmiths, University of London",366
University of Salerno,371
University of Manitoba,372
Oregon State University,373
"University of Occupational and Environmental Health, Japan",374
Loughborough University,374
Hasselt University,374
University of Crete,374
Northumbria University,378
University of Florence,378
Brunel University London,378
University of Bayreuth,378
Babol Noshirvani University of Technology,378
University of Perugia,383
Jordan University of Science and Technology,383
Örebro University,385
Clark University,385
Australian Catholic University,385
American University of Beirut,385
Swinburne University of Technology,389
RMIT University,390
Justus Liebig University Giessen,390
Catholic University of Portugal,390
IMT Atlantique,393
Hanyang University,393
University of Connecticut,393
University of Alaska Fairbanks,396
University of Naples Federico II,397
Indian Institute of Technology Indore,397
Iowa State University,399
Hofstra University,399
University of Siena,401
University of the Philippines,401
University of KwaZulu-Natal,401
University of Georgia,401
University of Côte d’Azur,401
Universiti Brunei Darussalam,401
Qatar University,407
Linköping University,407
University of Kansas,409
University of Turin,410
Royal Veterinary College,410
Tokyo Medical and Dental University (TMDU),412
Technion Israel Institute of Technology,412
Cankaya University,412
University of Innsbruck,415
York University,416
University of Milan-Bicocca,416
University of Eastern Finland,416
UiT The Arctic University of Norway,419
University of Nebraska-Lincoln,419
University of Missouri-St Louis,419
"City, University of London",422
University of Peradeniya,423
Norwegian University of Science and Technology,424
University of Missouri-Columbia,424
Harbin Institute of Technology,424
Sabancı University,427
Georgia State University,427
American University,427
University of Strathclyde,430
Pontifical Javeriana University,430
Drexel University,430
University of Bordeaux,430
University of Alabama,430
University of St Gallen,435
Centrale Nantes,435
Aberystwyth University,435
University of South Carolina-Columbia,438
Rensselaer Polytechnic Institute,438
University of Desarrollo,438
Tongji University,441
Middlesex University,441
Indian Institute of Technology Delhi,441
Diego Portales University,441
University of Urbino Carlo Bo,445
Sciences Po,445
Hong Kong Baptist University,445
Central South University,448
University of Victoria,449
Quaid-i-Azam University,449
University of Cyprus,449
University of Trieste,452
University of Modena and Reggio Emilia,452
Aswan University,452
Semmelweis University,455
Polytechnic University of Bari,455
Liverpool John Moores University,455
University of Saskatchewan,458
University of Porto,458
SOAS University of London,460
Sejong University,460
Kyushu University,460
University of Genoa,460
Free University of Bozen-Bolzano,460
Federal University of Toulouse Midi-Pyrénées,460
University of Strasbourg,466
Fujita Health University,467
University of Tulsa,468
Hunan University,468
École des Mines de Saint-Étienne,468
Bangor University,468
University of Pavia,472
Murdoch University,472
Edith Cowan University,472
University of Bari Aldo Moro,475
Indian Institute of Technology Kharagpur,476
Gwangju Institute of Science and Technology,476
National Research Nuclear University MEPhI,478
University of Houston,478
University of Valencia,480
Oklahoma State University,480
ITMO University,480
Indian Institute of Technology Bombay,480
University of Ferrara,480
Mansoura University,485
Covenant University,485
Bond University,485
Hokkaido University,488
Bournemouth University,488
University of Portsmouth,490
University of Kentucky,490
"Colorado State University, Fort Collins",490
University of Tsukuba,493
New Mexico Institute of Mining and Technology,493
Yasouj University,495
Verona University,495
University of Texas at San Antonio,495
Teikyo University,495
Leibniz University Hannover,495
Charles University in Prague,495
Yokohama City University,501
South China University of Technology,501
Missouri University of Science and Technology,501
University of Catania,501
Shenzhen University,505
University of Campinas,505
Keele University,507
Florida International University,507
University of Rovira i Virgili,509
Northern Arizona University,509
Louisiana State University,509
Koç University,509
University of Plymouth,513
University of Greifswald,513
Bar-Ilan University,513
Victoria University of Wellington,516
National and Kapodistrian University of Athens,516
University of Jyväskylä,516
University of Neuchâtel,519
King Saud University,519
Catholic University of the Sacred Heart,519
National Taiwan University of Science and Technology (Taiwan Tech),522
Aston University,522
University of L’Aquila,522
University of the West of Scotland,525
Suez Canal University,525
Universidad Peruana Cayetano Heredia,525
Norwegian University of Life Sciences,525
National Yang-Ming University,525
University of Ibadan,530
Complutense University of Madrid,530
Renmin University of China,532
Claude Bernard University Lyon 1,532
CentraleSupélec,534
University of Udine,535
King Saud bin Abdulaziz University for Health Sciences,535
Carleton University,535
University of Lisbon,538
