author_name,ratings,papers_accepted,papers_rejected,papers_submitted,gender,return_2021,first_author,last_author,first_time_author,gender_of_last_author
Daniel McNamee,"[[3, 3, 3, 1], [3, 3, 3, 1]]",0,2,2,m,0,1,1,1,m
Sergey Bartunov,"[[6, 6, 6, 6]]",1,0,1,m,0,1,0,0,m
Timothy Lillicrap,"[[6, 6, 6, 6], [6, 6, 6], [6, 8, 6, 8], [6, 6]]",3,1,4,m,0,0,1,0,m
Tiange Luo,"[[8, 6, 3], [3, 1, 6]]",1,1,2,m,1,1,0,0,m
Hao Su,"[[8, 6, 3], [6, 3, 8], [6, 6, 6], [3, 1, 3], [1, 8, 3]]",2,3,5,m,1,0,1,0,m
Weijie Su,"[[3, 6, 6], [6, 6, 6]]",2,0,2,m,1,1,1,1,m
Jifeng Dai,"[[3, 6, 6], [6, 6, 6], [6, 3, 6]]",2,1,3,m,1,0,1,1,m
Guangxiang Zhu*,"[[6, 3, 6]]",1,0,1,m,0,1,0,1,m
Chongjie Zhang,"[[6, 3, 6], [3, 6, 6], [6, 8, 6]]",3,0,3,m,1,0,1,0,m
Pushi Zhang,"[[6, 6, 3], [6, 6, 1]]",0,2,2,u,0,1,0,1,m
Tie-Yan Liu,"[[6, 6, 3], [3, 1, 3], [6, 6, 6], [3, 3, 3], [3, 6, 6], [3, 3, 1], [1, 1, 1], [6, 6, 1]]",0,8,8,m,1,0,1,0,m
Mingrui Liu,"[[6, 6, 6], [6, 6, 6], [3, 3, 3], [3, 3, 3]]",2,2,4,m,1,1,0,1,m
Tianbao Yang,"[[6, 6, 6], [6, 6, 6], [3, 3, 3], [3, 3, 3], [6, 6, 3]]",2,3,5,m,1,0,1,0,m
Bingyuan Liu,"[[6, 3, 3]]",0,1,1,m,1,1,0,1,m
Martin Renqiang Min,"[[6, 3, 3], [3, 1, 6]]",0,2,2,m,1,0,1,0,m
Yao Li,"[[3, 1, 6]]",0,1,1,f,1,1,0,0,m
Erik Kruus,"[[3, 1, 6]]",0,1,1,m,0,0,1,1,m
Hao Lu,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Shuang Yang,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Martin Engelcke,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Ingmar Posner,"[[8, 6, 6], [6, 3, 3], [3, 1, 3], [3, 1, 3]]",1,3,4,m,1,0,1,0,m
Jisoo Lee,"[[3, 6, 8]]",1,0,1,f,0,1,0,1,m
Sae-Young Chung,"[[3, 6, 8], [6, 6, 6]]",2,0,2,m,0,0,1,0,m
Cody Coleman,"[[6, 6, 6]]",1,0,1,m,1,1,0,0,m
Matei Zaharia,"[[6, 6, 6]]",1,0,1,m,1,0,1,0,m
Wouter Kool,"[[6, 8, 6]]",1,0,1,m,0,1,0,0,m
Max Welling,"[[6, 8, 6], [8, 6, 6], [6, 6, 6], [6, 6, 6], [8, 8, 8], [3, 6, 6], [6, 3, 3], [1, 3, 3]]",5,3,8,m,1,0,1,0,m
Kenta Oono,"[[8, 6, 8], [3, 3, 3]]",1,1,2,m,0,1,1,0,m
Taiji Suzuki,"[[8, 6, 8], [8, 6, 8], [8, 6, 6], [8, 3, 3], [3, 1, 1]]",3,2,5,m,1,1,1,0,m
Chaoyue Liu,"[[3, 8, 8]]",1,0,1,u,0,1,0,1,m
Mikhail Belkin,"[[3, 8, 8], [3, 3, 3]]",1,1,2,m,1,0,1,0,m
Balasubramaniam Srinivasan,"[[8, 8, 6]]",1,0,1,m,0,1,0,0,m
Bruno Ribeiro,"[[8, 8, 6], [6, 6, 3]]",1,1,2,m,1,0,1,0,m
Zhouxing Shi,"[[3, 6, 6]]",1,0,1,m,1,1,0,1,m
Cho-Jui Hsieh,"[[3, 6, 6], [6, 6, 8], [3, 8, 6], [8, 3, 6], [6, 3, 8], [6, 3], [6, 3], [3, 3], [6, 3, 6], [3, 3, 1], [3, 6, 3], [6, 3, 3], [1, 6, 6], [6, 1, 3], [3, 3, 3]]",6,9,15,m,1,0,1,0,m
Jesse Engel,"[[6, 8, 8], [3, 6]]",1,1,2,m,0,1,1,0,m
Adam Roberts,"[[6, 8, 8]]",1,0,1,m,0,0,1,0,m
Weihao Yu,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Jiashi Feng,"[[6, 8, 6], [6, 3, 6], [8, 6, 6], [6, 8, 6], [3, 3], [3, 1, 3], [1, 1, 3], [6, 3, 3]]",4,4,8,m,1,0,1,0,m
Haoran You,"[[8, 6, 6]]",1,0,1,m,1,1,0,1,f
Yingyan Lin,"[[8, 6, 6]]",1,0,1,f,1,0,1,1,f
Arsenii Ashukha,"[[6, 8, 6]]",1,0,1,m,0,1,0,0,m
Dmitry Vetrov,"[[6, 8, 6], [3, 3, 3], [3, 3, 3]]",1,2,3,m,0,0,1,0,m
Yilun Xu,"[[8, 8]]",1,0,1,m,1,1,0,1,m
Stefano Ermon,"[[8, 8], [6, 6, 6], [8, 8, 3], [1, 6, 1], [1, 3, 3], [3, 6, 8]]",3,3,6,m,1,0,1,0,m
Silviu Pitis,"[[8, 3, 8, 8]]",1,0,1,m,0,1,0,1,m
Jimmy Ba,"[[8, 3, 8, 8], [8, 6, 8], [6, 3, 6], [8, 6, 6], [6, 8, 6, 8], [6, 6, 6], [6, 3, 1], [1, 6, 6]]",6,2,8,m,1,1,1,0,m
Jonathan Gordon,"[[8, 8, 6], [8, 6, 6], [6, 3, 6, 6]]",2,1,3,m,0,1,0,0,m
Richard E. Turner,"[[8, 8, 6], [3, 8, 3]]",2,0,2,m,0,0,1,0,m
Ryan Lowe*,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,f
Joelle Pineau,"[[6, 8, 6], [6, 8], [6, 3, 6], [1, 6, 3], [3, 3, 8], [3, 8, 3], [3, 1, 1], [3, 6, 6], [3, 3, 6, 3, 6]]",2,7,9,f,1,0,1,0,f
Wenhu Chen,"[[6, 6, 8], [3, 3, 3]]",1,1,2,m,1,1,0,0,m
William Yang Wang,"[[6, 6, 8], [8, 6, 6], [3, 3, 3]]",2,1,3,m,1,0,1,1,m
Noah Siegel,"[[6, 6, 6], [3, 3, 6]]",1,1,2,m,0,1,0,1,m
Martin Riedmiller,"[[6, 6, 6], [8, 6, 6], [6, 6, 6], [3, 3, 6]]",3,1,4,m,1,0,1,0,m
Ivan Sosnovik,"[[8, 6, 6]]",1,0,1,m,0,1,0,0,m
Arnold Smeulders,"[[8, 6, 6]]",1,0,1,m,0,0,1,0,m
David Harwath*,"[[8, 8, 6]]",1,0,1,m,0,1,0,1,m
James Glass,"[[8, 8, 6], [3, 3, 3], [3, 3, 6]]",1,2,3,m,0,0,1,0,m
Lichen Wang,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Yun Fu,"[[6, 6, 6], [1, 6, 3]]",1,1,2,m,1,0,1,0,m
Kimon Antonakopoulos,"[[8, 6, 8]]",1,0,1,u,1,1,0,1,u
Panayotis Mertikopoulos,"[[8, 6, 8]]",1,0,1,u,1,0,1,0,u
Elizabeth Dinella,"[[6, 8, 6]]",1,0,1,f,0,1,0,1,m
Ke Wang,"[[6, 8, 6], [8, 6, 8], [3, 3, 3], [1, 1, 3]]",2,2,4,m,1,0,1,0,m
Akari Asai,"[[6, 8, 6]]",1,0,1,f,1,1,0,1,m
Caiming Xiong,"[[6, 8, 6], [1, 8, 3], [6, 3, 3], [1, 1, 1], [3, 3, 3], [3, 3, 1], [3, 6, 3], [1, 3, 3]]",1,7,8,m,1,0,1,0,m
Abhijeet Awasthi,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,f
Sunita Sarawagi,"[[6, 8, 6]]",1,0,1,f,0,0,1,0,f
Zaixiang Zheng,"[[8, 8, 8]]",1,0,1,u,1,1,0,1,u
Jiajun Chen,"[[8, 8, 8], [3, 3, 6], [1, 3, 1]]",1,2,3,u,0,0,1,1,u
Tailin Wu,"[[6, 6, 3]]",1,0,1,m,0,1,0,0,m
Ian Fischer,"[[6, 6, 3], [6, 3, 3]]",1,1,2,m,0,1,1,0,m
Christof Angermueller,"[[6, 3, 6]]",1,0,1,m,0,1,0,1,f
Lucy Colwell,"[[6, 3, 6]]",1,0,1,f,0,0,1,1,f
Xuwang Yin,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Gustavo K Rohde,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Wei Wang,"[[3, 8, 6], [8, 6, 3], [6, 3, 6], [3, 3, 1], [3, 3], [1, 3, 1], [3, 3, 6], [6, 1, 8]]",3,5,8,u,1,1,1,0,u
Luo Si,"[[3, 8, 6]]",1,0,1,m,1,0,1,1,m
Karl Schulz,"[[8, 8, 8]]",1,0,1,m,0,1,0,1,m
Tim Landgraf,"[[8, 8, 8]]",1,0,1,m,1,0,1,0,m
Guang-He Lee,"[[3, 6, 6], [6, 3, 8], [6, 3, 3]]",2,1,3,m,0,1,0,0,m
Tommi S. Jaakkola,"[[3, 6, 6], [6, 6, 1]]",1,1,2,m,1,0,1,0,m
Chulin Xie,"[[6, 6, 8], [3, 6, 3]]",1,1,2,f,0,1,0,1,f
Bo Li,"[[6, 6, 8], [6, 6, 6], [3, 3, 1], [6, 3, 8], [3, 8, 3], [1, 1, 3], [3, 6, 6], [3, 6, 3], [3, 1, 8], [3, 6, 3], [1, 3, 3], [1, 1, 6], [6, 1, 3]]",4,9,13,f,1,0,1,0,f
Sen Wu,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,m
Christopher Ré,"[[6, 6, 8], [6, 8, 8]]",2,0,2,m,0,0,1,0,m
Yan Zhang,"[[6, 8, 8], [6, 3, 3], [1, 1, 1], [6, 3, 3, 3]]",1,3,4,u,1,1,0,0,m
Adam Prügel-Bennett,"[[6, 8, 8], [3, 3, 1]]",1,1,2,m,0,0,1,0,m
Ruqi Zhang,"[[8, 8, 6], [3, 3, 8]]",1,1,2,f,0,1,0,1,m
Andrew Gordon Wilson,"[[8, 8, 6], [3, 3, 3]]",1,1,2,m,1,0,1,0,m
Roberta Raileanu,"[[6, 8, 6]]",1,0,1,f,1,1,0,0,m
Tim Rocktäschel,"[[6, 8, 6], [6, 6, 6]]",2,0,2,m,1,0,1,0,m
Michel Besserve,"[[8, 8, 3]]",1,0,1,m,0,1,0,0,m
Bernhard Schölkopf,"[[8, 8, 3], [1, 6, 6], [1, 1, 3, 1]]",2,1,3,m,1,0,1,0,m
Zhuosheng Zhang,"[[6, 8, 6], [8, 8, 8]]",2,0,2,m,1,1,0,1,m
Hai Zhao,"[[6, 8, 6], [8, 8, 8]]",2,0,2,m,0,0,1,0,m
Han Cai,"[[6, 6, 6], [3, 1, 1]]",1,1,2,m,0,1,0,0,m
Song Han,"[[6, 6, 6], [6, 8, 6], [3, 3, 6], [3, 1, 3], [3, 1, 1]]",2,3,5,m,0,0,1,0,m
Tonghan Wang*,"[[3, 6, 6], [6, 8, 6]]",2,0,2,m,0,1,0,1,m
Pu Zhao,"[[8, 6, 3]]",1,0,1,m,0,1,0,0,f
Xue Lin,"[[8, 6, 3], [6, 6, 6]]",1,1,2,f,1,0,1,0,f
Stanislaw Jastrzebski,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Krzysztof Geras*,"[[6, 8, 6]]",1,0,1,m,0,0,1,1,m
Xiao Zhang,"[[6, 3, 8], [3, 3, 3], [1, 3, 6]]",1,2,3,m,1,1,0,0,m
Dongrui Wu,"[[6, 3, 8]]",1,0,1,m,1,0,1,1,m
Yunzhu Li,"[[6, 8, 6, 6], [6, 8, 6]]",2,0,2,m,0,1,0,0,m
Antonio Torralba,"[[6, 8, 6, 6], [6, 8, 6], [6, 6, 6], [3, 1, 3], [6, 3, 3]]",3,2,5,m,1,0,1,0,m
Mingzhang Yin,"[[6, 8, 8]]",1,0,1,m,0,1,0,0,f
Chelsea Finn,"[[6, 8, 8], [6, 6], [6, 8, 6], [6, 6, 6], [6, 3, 8], [3, 1, 3], [6, 3, 6], [3, 6, 3], [6, 3, 6], [3, 6, 8], [3, 3, 3], [3, 3, 3, 6], [3, 6, 3]]",5,8,13,f,1,0,1,0,f
Larissa Laich,"[[8, 3, 8]]",1,0,1,f,0,1,0,1,m
Martin Vechev,"[[8, 3, 8], [3, 8, 6], [8, 6, 8], [6, 1, 3], [1, 3, 8], [3, 3, 6], [3, 3, 3]]",3,4,7,m,1,0,1,0,m
Micah Goldblum,"[[8, 8, 6], [3, 6, 3], [3, 1, 3]]",1,2,3,m,1,1,0,1,m
Tom Goldstein,"[[8, 8, 6], [6, 6, 6], [8, 8], [8, 8, 1], [6, 6, 8], [8, 8, 6], [3, 3, 3, 6], [6, 3, 3], [8, 1, 3], [3, 6, 3], [3, 6, 3], [1, 3, 3], [3, 1, 3], [3, 3, 1], [3, 3, 1]]",6,9,15,m,1,0,1,0,m
Keyulu Xu,"[[8, 8, 6]]",1,0,1,f,1,1,0,0,f
Stefanie Jegelka,"[[8, 8, 6], [3, 1, 3], [6, 1, 3]]",1,2,3,f,1,0,1,0,f
Junho Kim,"[[8, 6, 6]]",1,0,1,m,1,1,0,1,m
Kwang Hee Lee,"[[8, 6, 6]]",1,0,1,m,0,0,1,1,m
Yangjun Ruan,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,m
Zhanghao Wu*,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Taejong Joo,"[[6, 3, 6]]",1,0,1,m,1,1,0,1,u
Byunghoon Kim,"[[6, 3, 6]]",1,0,1,u,0,0,1,1,u
Henry Zhu,"[[8, 8, 6]]",1,0,1,m,0,1,0,1,m
Sergey Levine,"[[8, 8, 6], [8, 8, 8], [6, 6, 8], [6, 8, 6], [6, 6, 6], [8, 6, 6], [6, 6, 6], [6, 3, 8], [6, 6, 6], [8, 8, 6], [6, 6], [6, 6, 6], [3, 1, 3], [6, 3, 6], [3, 3, 3], [6, 3, 1], [3, 6, 3], [6, 3, 6], [6, 3, 6], [3, 3, 3], [3, 3, 3, 6], [3, 3, 3], [1, 3, 3], [6, 6, 6], [6, 3, 1], [8, 3, 3], [8, 3, 3], [6, 3, 6], [6, 3, 6], [1, 6, 3], [3, 6, 3]]",12,19,31,m,1,0,1,0,m
Fan Yang,"[[6, 3, 6]]",1,0,1,m,0,1,0,0,m
Wei Cao,"[[6, 3, 6]]",1,0,1,m,1,0,1,1,m
Shell Xu Hu,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Andreas Damianou,"[[6, 6, 6]]",1,0,1,m,1,0,1,0,m
Yan Li,"[[3, 8, 6]]",1,0,1,u,0,1,0,1,m
Tuo Zhao,"[[3, 8, 6], [6, 6, 6], [6, 3, 6]]",2,1,3,m,1,0,1,0,m
Aliakbar Panahi,"[[8, 8, 3], [6, 6, 6]]",1,1,2,m,1,1,0,1,m
Tom Arodz,"[[8, 8, 3], [6, 6, 6]]",1,1,2,m,1,0,1,1,m
Dongze Lian,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Shenghua Gao,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Peter Toth,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,f
Irina Higgins,"[[6, 6, 8], [6, 6, 6], [6, 6, 3]]",2,1,3,f,1,0,1,0,f
Yuntian Deng,"[[6, 6, 6], [1, 3, 3, 1], [3, 3, 1]]",1,2,3,m,0,1,0,0,m
Marc'Aurelio Ranzato,"[[6, 6, 6], [8, 6, 6], [1, 3, 3, 1]]",2,1,3,m,0,0,1,0,m
Sumanth Dathathri,"[[6, 3, 6], [3, 6, 8, 1]]",1,1,2,m,1,1,0,0,f
Rosanne Liu,"[[6, 3, 6]]",1,0,1,f,0,0,1,0,f
Juan Luis Gonzalez Bello,"[[6, 6, 3], [3, 3, 3]]",1,1,2,m,0,1,0,1,m
Munchurl Kim,"[[6, 6, 3], [3, 6, 3, 3], [3, 3, 3]]",1,2,3,m,0,0,1,1,m
Kamil Ciosek,"[[6, 6, 6], [6, 8, 6], [3, 1, 3]]",2,1,3,m,0,1,0,1,m
Richard Turner,"[[6, 6, 6]]",1,0,1,m,0,0,1,0,m
Archit Sharma,"[[8, 8, 8]]",1,0,1,m,0,1,0,1,m
Karol Hausman,"[[8, 8, 8], [6, 6, 6], [3, 6, 3], [3, 3, 3, 6]]",2,2,4,m,0,0,1,0,m
Logan Engstrom,"[[8, 8, 8], [8, 6, 8], [3, 3, 6]]",2,1,3,m,1,1,0,0,m
Aleksander Madry,"[[8, 8, 8], [8, 6, 8], [3, 3, 6]]",2,1,3,m,1,0,1,0,m
Liangjian Wen,"[[8, 6, 3, 6]]",1,0,1,u,1,1,0,1,m
Zenglin Xu,"[[8, 6, 3, 6]]",1,0,1,m,1,0,1,0,m
