paper_title,author_links,author_stats
Identifying Physical Law of Hamiltonian Systems via Meta-Learning,"['https://www.semanticscholar.org/author/Haesang-Yang/11325568', 'https://www.semanticscholar.org/author/Seungjun-Lee/2108154935', 'https://www.semanticscholar.org/author/W.-Seong/2517631']","[{'Publications': '26', 'h-index': '3', 'Citations': '35', 'Highly Influential Citations': '0'}, {'Publications': '4', 'h-index': '2', 'Citations': '6', 'Highly Influential Citations': '0'}, {'Publications': '183', 'h-index': '14', 'Citations': '698', 'Highly Influential Citations': '18'}]"
Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,"['https://www.semanticscholar.org/author/J.-Siow/30163639', 'https://www.semanticscholar.org/author/Xiaofei-Xie/49419199']","[{'Publications': '8', 'h-index': '4', 'Citations': '74', 'Highly Influential Citations': '15'}, {'Publications': '78', 'h-index': '16', 'Citations': '911', 'Highly Influential Citations': '61'}]"
Accurate Learning of Graph Representations with Graph Multiset Pooling,"['https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904', 'https://www.semanticscholar.org/author/Minki-Kang/120434407', 'https://www.semanticscholar.org/author/Jinheon-Baek/90765684']","[{'Publications': '89', 'h-index': '22', 'Citations': '1,834', 'Highly Influential Citations': '208'}, {'Publications': '4', 'h-index': '3', 'Citations': '14', 'Highly Influential Citations': '2'}, {'Publications': '8', 'h-index': '2', 'Citations': '12', 'Highly Influential Citations': '1'}]"
Learning to Recombine and Resample Data For Compositional Generalization,"['https://www.semanticscholar.org/author/Ekin-Aky%C3%BCrek/1992708068', 'https://www.semanticscholar.org/author/Afra-Feyza-Akyurek/1992665109', 'https://www.semanticscholar.org/author/Jacob-Andreas/2112400']","[{'Publications': '4', 'h-index': '3', 'Citations': '16', 'Highly Influential Citations': '7'}, {'Publications': '2', 'h-index': '2', 'Citations': '6', 'Highly Influential Citations': '0'}, {'Publications': '56', 'h-index': '27', 'Citations': '3,594', 'Highly Influential Citations': '480'}]"
Refining Deep Generative Models via Discriminator Gradient Flow,"['https://www.semanticscholar.org/author/Harold-Soh/5489509', 'https://www.semanticscholar.org/author/Abdul-Fatir-Ansari/30463274', 'https://www.semanticscholar.org/author/Ming-Liang-Ang/2030529856']","[{'Publications': '69', 'h-index': '18', 'Citations': '971', 'Highly Influential Citations': '44'}, {'Publications': '5', 'h-index': '3', 'Citations': '49', 'Highly Influential Citations': '3'}, {'Publications': '3', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '1'}]"
CopulaGNN: Towards Integrating Representational and Correlational Roles of Graphs in Graph Neural Networks,"['https://www.semanticscholar.org/author/Xuefei-Zhang/2108095869', 'https://www.semanticscholar.org/author/Qiaozhu-Mei/1743469', 'https://www.semanticscholar.org/author/B.-Chang/144757437']","[{'Publications': '4', 'h-index': '2', 'Citations': '7', 'Highly Influential Citations': '0'}, {'Publications': '188', 'h-index': '47', 'Citations': '12,539', 'Highly Influential Citations': '1,617'}, {'Publications': '23', 'h-index': '9', 'Citations': '518', 'Highly Influential Citations': '56'}]"
On Statistical Bias In Active Learning: How and When to Fix It,"['https://www.semanticscholar.org/author/Tom-Rainforth/2358794', 'https://www.semanticscholar.org/author/Sebastian-Farquhar/33859827', 'https://www.semanticscholar.org/author/Y.-Gal/2681954']","[{'Publications': '56', 'h-index': '13', 'Citations': '812', 'Highly Influential Citations': '102'}, {'Publications': '22', 'h-index': '7', 'Citations': '527', 'Highly Influential Citations': '40'}, {'Publications': '135', 'h-index': '28', 'Citations': '11,084', 'Highly Influential Citations': '1,607'}]"
Unsupervised Discovery of 3D Physical Objects from Video,"['https://www.semanticscholar.org/author/Tomer-Ulman/1832380271', 'https://www.semanticscholar.org/author/J.-Tenenbaum/1763295', 'https://www.semanticscholar.org/author/Jiajun-Wu/3045089', 'https://www.semanticscholar.org/author/Kevin-A.-Smith/34771975', 'https://www.semanticscholar.org/author/Yilun-Du/15394275']","[{'Publications': '2', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}, {'Publications': '688', 'h-index': '99', 'Citations': '54,116', 'Highly Influential Citations': '4,400'}, {'Publications': '102', 'h-index': '38', 'Citations': '6,212', 'Highly Influential Citations': '601'}, {'Publications': '54', 'h-index': '11', 'Citations': '703', 'Highly Influential Citations': '51'}, {'Publications': '36', 'h-index': '8', 'Citations': '261', 'Highly Influential Citations': '31'}]"
CPT: Efficient Deep Neural Network Training via Cyclic Precision,"['https://www.semanticscholar.org/author/Han-Guo/48843025', 'https://www.semanticscholar.org/author/Y.-Fu/108145103', 'https://www.semanticscholar.org/author/Yingyan-Lin/3138925']","[{'Publications': '21', 'h-index': '6', 'Citations': '191', 'Highly Influential Citations': '18'}, {'Publications': '11', 'h-index': '6', 'Citations': '137', 'Highly Influential Citations': '16'}, {'Publications': '40', 'h-index': '11', 'Citations': '462', 'Highly Influential Citations': '40'}]"
Learning from Protein Structure with Geometric Vector Perceptrons,"['https://www.semanticscholar.org/author/Raphael-J.-L.-Townshend/144531620', 'https://www.semanticscholar.org/author/Patricia-Suriana/8844033', 'https://www.semanticscholar.org/author/Stephan-Eismann/2269018', 'https://www.semanticscholar.org/author/Bowen-Jing/2064253810', 'https://www.semanticscholar.org/author/R.-Dror/2561280']","[{'Publications': '18', 'h-index': '6', 'Citations': '150', 'Highly Influential Citations': '12'}, {'Publications': '11', 'h-index': '4', 'Citations': '130', 'Highly Influential Citations': '11'}, {'Publications': '18', 'h-index': '6', 'Citations': '424', 'Highly Influential Citations': '25'}, {'Publications': '8', 'h-index': '3', 'Citations': '12', 'Highly Influential Citations': '0'}, {'Publications': '204', 'h-index': '65', 'Citations': '23,209', 'Highly Influential Citations': '984'}]"
Long-tailed Recognition by Routing Diverse Distribution-Aware Experts,"['https://www.semanticscholar.org/author/Z.-Liu/3243969', 'https://www.semanticscholar.org/author/Zhongqi-Miao/89139426', 'https://www.semanticscholar.org/author/Xudong-Wang/2108076606', 'https://www.semanticscholar.org/author/Stella-X.-Yu/2107881808', 'https://www.semanticscholar.org/author/Long-Lian/2054733874']","[{'Publications': '103', 'h-index': '28', 'Citations': '9,309', 'Highly Influential Citations': '2,001'}, {'Publications': '8', 'h-index': '5', 'Citations': '269', 'Highly Influential Citations': '62'}, {'Publications': '8', 'h-index': '4', 'Citations': '103', 'Highly Influential Citations': '14'}, {'Publications': '140', 'h-index': '34', 'Citations': '4,639', 'Highly Influential Citations': '508'}, {'Publications': '2', 'h-index': '1', 'Citations': '8', 'Highly Influential Citations': '4'}]"
Universal Weakly Supervised Segmentation by Pixel-to-Segment Contrastive Learning,"['https://www.semanticscholar.org/author/Jyh-Jing-Hwang/2351486', 'https://www.semanticscholar.org/author/Stella-X.-Yu/2107881808', 'https://www.semanticscholar.org/author/Tsung-Wei-Ke/2301765']","[{'Publications': '13', 'h-index': '9', 'Citations': '412', 'Highly Influential Citations': '36'}, {'Publications': '140', 'h-index': '34', 'Citations': '4,639', 'Highly Influential Citations': '508'}, {'Publications': '14', 'h-index': '6', 'Citations': '219', 'Highly Influential Citations': '20'}]"
Boost then Convolve: Gradient Boosting Meets Graph Neural Networks,"['https://www.semanticscholar.org/author/L.-Prokhorenkova/51270819', 'https://www.semanticscholar.org/author/Sergei-Ivanov/2054725939']","[{'Publications': '23', 'h-index': '5', 'Citations': '79', 'Highly Influential Citations': '3'}, {'Publications': '4', 'h-index': '3', 'Citations': '39', 'Highly Influential Citations': '2'}]"
DC3: A learning method for optimization with hard constraints,"['https://www.semanticscholar.org/author/P.-Donti/49698491', 'https://www.semanticscholar.org/author/D.-Rolnick/2381187', 'https://www.semanticscholar.org/author/J.-Z.-Kolter/145116464']","[{'Publications': '16', 'h-index': '6', 'Citations': '394', 'Highly Influential Citations': '21'}, {'Publications': '45', 'h-index': '12', 'Citations': '1,176', 'Highly Influential Citations': '72'}, {'Publications': '135', 'h-index': '44', 'Citations': '11,962', 'Highly Influential Citations': '1,575'}]"
A Universal Representation Transformer Layer for Few-Shot Image Classification,"['https://www.semanticscholar.org/author/Guodong-Long/97846126', 'https://www.semanticscholar.org/author/William-Hamilton/2057555891', 'https://www.semanticscholar.org/author/Jing-Jiang/1388990417', 'https://www.semanticscholar.org/author/H.-Larochelle/1777528', 'https://www.semanticscholar.org/author/L.-Liu/152644896']","[{'Publications': '23', 'h-index': '6', 'Citations': '162', 'Highly Influential Citations': '15'}, {'Publications': '6', 'h-index': '2', 'Citations': '25', 'Highly Influential Citations': '4'}, {'Publications': '34', 'h-index': '9', 'Citations': '255', 'Highly Influential Citations': '23'}, {'Publications': '137', 'h-index': '51', 'Citations': '35,134', 'Highly Influential Citations': '3,772'}, {'Publications': '67', 'h-index': '11', 'Citations': '729', 'Highly Influential Citations': '18'}]"
Generalized Multimodal ELBO,"['https://www.semanticscholar.org/author/R.-Helbok/3813610', 'https://www.semanticscholar.org/author/A.-Schiefecker/5556281', 'https://www.semanticscholar.org/author/E.-Schmutzhard/10072645']","[{'Publications': '267', 'h-index': '39', 'Citations': '5,216', 'Highly Influential Citations': '206'}, {'Publications': '53', 'h-index': '13', 'Citations': '593', 'Highly Influential Citations': '30'}, {'Publications': '405', 'h-index': '56', 'Citations': '12,071', 'Highly Influential Citations': '563'}]"
Debiasing Concept-based Explanations with Causal Analysis,"['https://www.semanticscholar.org/author/D.-Heckerman/48099028', 'https://www.semanticscholar.org/author/M.-T.-Bahadori/2342604']","[{'Publications': '401', 'h-index': '94', 'Citations': '46,726', 'Highly Influential Citations': '3,071'}, {'Publications': '36', 'h-index': '17', 'Citations': '2,395', 'Highly Influential Citations': '268'}]"
Tilted Empirical Risk Minimization,"['https://www.semanticscholar.org/author/Virginia-Smith/145260024', 'https://www.semanticscholar.org/author/A.-Beirami/1791052', 'https://www.semanticscholar.org/author/Maziar-Sanjabi/2095979', 'https://www.semanticscholar.org/author/Tian-Li/101347134']","[{'Publications': '38', 'h-index': '16', 'Citations': '2,975', 'Highly Influential Citations': '436'}, {'Publications': '87', 'h-index': '15', 'Citations': '796', 'Highly Influential Citations': '32'}, {'Publications': '31', 'h-index': '17', 'Citations': '1,923', 'Highly Influential Citations': '274'}, {'Publications': '93', 'h-index': '8', 'Citations': '528', 'Highly Influential Citations': '105'}]"
Wandering within a world: Online contextualized few-shot learning,"['https://www.semanticscholar.org/author/Michael-L.-Iuzzolino/67294118', 'https://www.semanticscholar.org/author/M.-Mozer/144473519', 'https://www.semanticscholar.org/author/Mengye-Ren/2540599', 'https://www.semanticscholar.org/author/R.-Zemel/1804104']","[{'Publications': '14', 'h-index': '4', 'Citations': '42', 'Highly Influential Citations': '5'}, {'Publications': '263', 'h-index': '52', 'Citations': '9,838', 'Highly Influential Citations': '585'}, {'Publications': '36', 'h-index': '17', 'Citations': '2,533', 'Highly Influential Citations': '352'}, {'Publications': '226', 'h-index': '60', 'Citations': '30,861', 'Highly Influential Citations': '3,496'}]"
Multi-resolution modeling of a discrete stochastic process identifies causes of cancer,"['https://www.semanticscholar.org/author/Po-Ru-Loh/144813435', 'https://www.semanticscholar.org/author/A.-Yaari/2091806181', 'https://www.semanticscholar.org/author/Andrei-Barbu/21570451', 'https://www.semanticscholar.org/author/B.-Katz/143912599', 'https://www.semanticscholar.org/author/Bonnie-Berger/2090906704', 'https://www.semanticscholar.org/author/Oliver-Clarke-Priebe/2114808703', 'https://www.semanticscholar.org/author/M.-Sherman/47104322']","[{'Publications': '132', 'h-index': '46', 'Citations': '15,089', 'Highly Influential Citations': '1,014'}, {'Publications': '2', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '38', 'h-index': '11', 'Citations': '640', 'Highly Influential Citations': '69'}, {'Publications': '23', 'h-index': '6', 'Citations': '121', 'Highly Influential Citations': '5'}, {'Publications': '12', 'h-index': '6', 'Citations': '1,365', 'Highly Influential Citations': '77'}, {'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '21', 'h-index': '7', 'Citations': '548', 'Highly Influential Citations': '19'}]"
Discrete Graph Structure Learning for Forecasting Multiple Time Series,"['https://www.semanticscholar.org/author/Jinbo-Bi/38370684', 'https://www.semanticscholar.org/author/J.-Chen/46669153', 'https://www.semanticscholar.org/author/Chao-Shang/2062997349']","[{'Publications': '143', 'h-index': '30', 'Citations': '4,139', 'Highly Influential Citations': '461'}, {'Publications': '138', 'h-index': '11', 'Citations': '579', 'Highly Influential Citations': '42'}, {'Publications': '7', 'h-index': '2', 'Citations': '16', 'Highly Influential Citations': '0'}]"
A Diffusion Theory For Deep Learning Dynamics: Stochastic Gradient Descent Exponentially Favors Flat Minima,"['https://www.semanticscholar.org/author/Issei-Sato/73355331', 'https://www.semanticscholar.org/author/Zeke-Xie/30014947', 'https://www.semanticscholar.org/author/M.-Sugiyama/153116539']","[{'Publications': '127', 'h-index': '21', 'Citations': '1,601', 'Highly Influential Citations': '165'}, {'Publications': '10', 'h-index': '5', 'Citations': '48', 'Highly Influential Citations': '7'}, {'Publications': '100', 'h-index': '12', 'Citations': '413', 'Highly Influential Citations': '39'}]"
Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with $1/n$ Parameters,"['https://www.semanticscholar.org/author/J.-Fu/145016608', 'https://www.semanticscholar.org/author/Yi-Tay/144447820', 'https://www.semanticscholar.org/author/A.-Zhang/2085709']","[{'Publications': '128', 'h-index': '16', 'Citations': '1,056', 'Highly Influential Citations': '58'}, {'Publications': '89', 'h-index': '26', 'Citations': '2,735', 'Highly Influential Citations': '338'}, {'Publications': '46', 'h-index': '15', 'Citations': '951', 'Highly Influential Citations': '83'}]"
Trusted Multi-View Classification,"['https://www.semanticscholar.org/author/Joey-Tianyi-Zhou/10638646', 'https://www.semanticscholar.org/author/Huazhu-Fu/1929093', 'https://www.semanticscholar.org/author/Changqing-Zhang/144704038', 'https://www.semanticscholar.org/author/Zongbo-Han/2008848359']","[{'Publications': '122', 'h-index': '24', 'Citations': '1,915', 'Highly Influential Citations': '190'}, {'Publications': '154', 'h-index': '35', 'Citations': '4,906', 'Highly Influential Citations': '503'}, {'Publications': '80', 'h-index': '23', 'Citations': '2,228', 'Highly Influential Citations': '212'}, {'Publications': '3', 'h-index': '1', 'Citations': '5', 'Highly Influential Citations': '0'}]"
Knowledge Distillation as Semiparametric Inference,"['https://www.semanticscholar.org/author/Vasilis-Syrgkanis/3043674', 'https://www.semanticscholar.org/author/Tri-Dao/24593911', 'https://www.semanticscholar.org/author/G.-Kamath/1837061', 'https://www.semanticscholar.org/author/Lester-W.-Mackey/143722101']","[{'Publications': '113', 'h-index': '26', 'Citations': '2,121', 'Highly Influential Citations': '236'}, {'Publications': '19', 'h-index': '7', 'Citations': '184', 'Highly Influential Citations': '19'}, {'Publications': '34', 'h-index': '11', 'Citations': '1,030', 'Highly Influential Citations': '130'}, {'Publications': '99', 'h-index': '26', 'Citations': '2,649', 'Highly Influential Citations': '275'}]"
Initialization and Regularization of Factorized Neural Layers,"['https://www.semanticscholar.org/author/Neil-A.-Tenenholtz/3333746', 'https://www.semanticscholar.org/author/M.-Khodak/10398264', 'https://www.semanticscholar.org/author/Nicol%C3%B3-Fusi/2723245', 'https://www.semanticscholar.org/author/Lester-W.-Mackey/143722101']","[{'Publications': '20', 'h-index': '5', 'Citations': '339', 'Highly Influential Citations': '14'}, {'Publications': '28', 'h-index': '11', 'Citations': '1,325', 'Highly Influential Citations': '145'}, {'Publications': '37', 'h-index': '15', 'Citations': '3,381', 'Highly Influential Citations': '346'}, {'Publications': '99', 'h-index': '26', 'Citations': '2,649', 'Highly Influential Citations': '275'}]"
Learning N:M  Fine-grained Structured Sparse Neural Networks From Scratch,"['https://www.semanticscholar.org/author/Yukun-Ma/2109238929', 'https://www.semanticscholar.org/author/Hongsheng-Li/47893312', 'https://www.semanticscholar.org/author/Aojun-Zhou/9548994']","[{'Publications': '3', 'h-index': '2', 'Citations': '15', 'Highly Influential Citations': '2'}, {'Publications': '88', 'h-index': '29', 'Citations': '5,213', 'Highly Influential Citations': '823'}, {'Publications': '15', 'h-index': '8', 'Citations': '814', 'Highly Influential Citations': '89'}]"
Neural Jump Ordinary Differential Equations: Consistent Continuous-Time Prediction and Filtering,"['https://www.semanticscholar.org/author/J.-Teichmann/34274314', 'https://www.semanticscholar.org/author/Calypso-Herrera/103383485', 'https://www.semanticscholar.org/author/Florian-Krach/35636094']","[{'Publications': '119', 'h-index': '24', 'Citations': '1,974', 'Highly Influential Citations': '198'}, {'Publications': '12', 'h-index': '4', 'Citations': '33', 'Highly Influential Citations': '3'}, {'Publications': '20', 'h-index': '6', 'Citations': '229', 'Highly Influential Citations': '10'}]"
Go with the flow: Adaptive control for Neural ODEs,"['https://www.semanticscholar.org/author/R.-VanRullen/4814195', 'https://www.semanticscholar.org/author/Thomas-Serre/1981539', 'https://www.semanticscholar.org/author/Matthew-Ricci/39105519', 'https://www.semanticscholar.org/author/Mathieu-Chalvidal/1491552732']","[{'Publications': '203', 'h-index': '42', 'Citations': '8,975', 'Highly Influential Citations': '614'}, {'Publications': '122', 'h-index': '34', 'Citations': '10,283', 'Highly Influential Citations': '1,401'}, {'Publications': '18', 'h-index': '4', 'Citations': '83', 'Highly Influential Citations': '19'}, {'Publications': '6', 'h-index': '1', 'Citations': '5', 'Highly Influential Citations': '1'}]"
Orthogonalizing Convolutional Layers with the Cayley Transform,"['https://www.semanticscholar.org/author/J.-Z.-Kolter/145116464', 'https://www.semanticscholar.org/author/Asher-Trockman/50820040']","[{'Publications': '135', 'h-index': '44', 'Citations': '11,962', 'Highly Influential Citations': '1,575'}, {'Publications': '10', 'h-index': '4', 'Citations': '99', 'Highly Influential Citations': '5'}]"
Layer-adaptive Sparsity for the Magnitude-based Pruning,"['https://www.semanticscholar.org/author/Sejun-Park/2115258625', 'https://www.semanticscholar.org/author/Sungsoo-Ahn/70560338', 'https://www.semanticscholar.org/author/Sangwoo-Mo/9962692', 'https://www.semanticscholar.org/author/Jaeho-Lee/2108806224', 'https://www.semanticscholar.org/author/Jinwoo-Shin/143720148']","[{'Publications': '30', 'h-index': '6', 'Citations': '174', 'Highly Influential Citations': '15'}, {'Publications': '22', 'h-index': '6', 'Citations': '191', 'Highly Influential Citations': '39'}, {'Publications': '11', 'h-index': '5', 'Citations': '169', 'Highly Influential Citations': '30'}, {'Publications': '2', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '1'}, {'Publications': '185', 'h-index': '26', 'Citations': '2,877', 'Highly Influential Citations': '421'}]"
