Dissecting Hessian: Understanding Common Structure of Hessian in Neural Networks,['https://www.semanticscholar.org/paper/Dissecting-Hessian%3A-Understanding-Common-Structure-Wu-Zhu/ba0d43cb63b83a95cf56d13213b07d42f0c3bb40'],"[{'Citations': 2, 'Highly Influential Citations': '1', 'Background Citations': '2'}]"
Identifying Physical Law of Hamiltonian Systems via Meta-Learning,['https://www.semanticscholar.org/paper/Identifying-Physical-Law-of-Hamiltonian-Systems-via-Lee-Yang/87174a4df7567e52771d15f949d459791145379b'],"[{'Citations': 3, 'Background Citations': '2'}]"
Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,['https://www.semanticscholar.org/paper/Retrieval-Augmented-Generation-for-Code-via-Hybrid-Liu-Chen/ceaff192479db6faee58ae88e053b0b319cf1893'],"[{'Citations': 5, 'Background Citations': '1', 'Methods Citations': '3'}]"
Accurate Learning of Graph Representations with Graph Multiset Pooling,['https://www.semanticscholar.org/paper/Accurate-Learning-of-Graph-Representations-with-Baek-Kang/2db94114aae1bac3514e31e356467275b8896d55'],"[{'Citations': 3, 'Background Citations': '3', 'Methods Citations': '2'}]"
Learning to Recombine and Resample Data For Compositional Generalization,['https://www.semanticscholar.org/paper/Learning-to-Recombine-and-Resample-Data-for-Aky%C3%BCrek-Akyurek/ebfd227423cc7f2a23b89d16063dc1eb5deec63f'],"[{'Citations': 4, 'Highly Influential Citations': '1', 'Background Citations': '3', 'Results Citations': '1'}]"
Refining Deep Generative Models via Discriminator Gradient Flow,['https://www.semanticscholar.org/paper/Refining-Deep-Generative-Models-via-Discriminator-Ansari-Ang/4278306d0ef6105707505bb2b3d6e8a70282bd40'],[{'Citations': 1}]
CopulaGNN: Towards Integrating Representational and Correlational Roles of Graphs in Graph Neural Networks,['https://www.semanticscholar.org/paper/CopulaGNN%3A-Towards-Integrating-Representational-and-Ma-Chang/7e2cffd6341939869a3e48c78e06c738d18f7d60'],"[{'Citations': 1, 'Methods Citations': '1'}]"
On Statistical Bias In Active Learning: How and When to Fix It,['https://www.semanticscholar.org/paper/On-Statistical-Bias-In-Active-Learning%3A-How-and-To-Farquhar-Gal/1dbbc8935951a5f1847338a775b66c07a1e5f4c8'],"[{'Citations': 4, 'Background Citations': '3', 'Methods Citations': '1'}]"
Unsupervised Discovery of 3D Physical Objects from Video,['https://www.semanticscholar.org/paper/Unsupervised-Discovery-of-3D-Physical-Objects-from-Du-Smith/a5a28056d84506f9bc4f3245e961e9d2f943e915'],"[{'Citations': 4, 'Background Citations': '1', 'Methods Citations': '1'}]"
CPT: Efficient Deep Neural Network Training via Cyclic Precision,['https://www.semanticscholar.org/paper/CPT%3A-Efficient-Deep-Neural-Network-Training-via-Fu-Guo/954da83a8b981ec1f4d33326889169551c9967a6'],"[{'Citations': 3, 'Background Citations': '1'}]"
Learning from Protein Structure with Geometric Vector Perceptrons,['https://www.semanticscholar.org/paper/Learning-from-Protein-Structure-with-Geometric-Jing-Eismann/bbcc9b5a82e6ec2fe1e07eb816d7dc2656591d12'],"[{'Citations': 3, 'Background Citations': '2', 'Methods Citations': '2'}]"
Long-tailed Recognition by Routing Diverse Distribution-Aware Experts,['https://www.semanticscholar.org/paper/Long-tailed-Recognition-by-Routing-Diverse-Experts-Wang-Lian/e8e533166f6030239a7d8b32e384726a61d0b8b9'],"[{'Citations': 9, 'Highly Influential Citations': '5', 'Background Citations': '4', 'Methods Citations': '6', 'Results Citations': '1'}]"
Universal Weakly Supervised Segmentation by Pixel-to-Segment Contrastive Learning,['https://www.semanticscholar.org/paper/Universal-Weakly-Supervised-Segmentation-by-Ke-Hwang/d49c5ca5fd043f00b8400e4390d57d55a3c9daf8'],"[{'Citations': 1, 'Background Citations': '1'}]"
Boost then Convolve: Gradient Boosting Meets Graph Neural Networks,['https://www.semanticscholar.org/paper/Boost-then-Convolve%3A-Gradient-Boosting-Meets-Graph-Ivanov-Prokhorenkova/07d38f062da2f13e3ff532d630aacc3e8dcaccca'],[{'Citations': 0}]
DC3: A learning method for optimization with hard constraints,['https://www.semanticscholar.org/paper/DC3%3A-A-learning-method-for-optimization-with-hard-Donti-Rolnick/ac879e53927cdf7c3b8b5c00bc3ff13959f11d97'],"[{'Citations': 1, 'Background Citations': '1'}]"
A Universal Representation Transformer Layer for Few-Shot Image Classification,['https://www.semanticscholar.org/paper/A-Universal-Representation-Transformer-Layer-for-Liu-Hamilton/6e1efe22d5696269aff7addcb438f77ff6cc2508'],"[{'Citations': 11, 'Highly Influential Citations': '2', 'Background Citations': '8', 'Methods Citations': '3'}]"
Generalized Multimodal ELBO,['https://www.semanticscholar.org/paper/Early-brain-injury-after-aneurysmal-subarachnoid-a-Helbok-Schiefecker/4abb96ac970f56409476c1a49d0128aa80037b3e'],"[{'Citations': 52, 'Highly Influential Citations': '3', 'Background Citations': '20'}]"
Debiasing Concept-based Explanations with Causal Analysis,['https://www.semanticscholar.org/paper/Debiasing-Concept-based-Explanations-with-Causal-Bahadori-Heckerman/42c061c1e329b157e6dc4f27f40bed534bddc871'],"[{'Citations': 1, 'Methods Citations': '1'}]"
Tilted Empirical Risk Minimization,['https://www.semanticscholar.org/paper/Tilted-Empirical-Risk-Minimization-Li-Beirami/1f6de95137e96872274eedae1beb1bd55f03c57a'],"[{'Citations': 9, 'Highly Influential Citations': '2', 'Background Citations': '5', 'Methods Citations': '3'}]"
Wandering within a world: Online contextualized few-shot learning,['https://www.semanticscholar.org/paper/Wandering-Within-a-World%3A-Online-Contextualized-Ren-Iuzzolino/9f774c0710b887064f309f5a639c0679eccbb6f2'],"[{'Citations': 4, 'Background Citations': '2', 'Methods Citations': '1'}]"
Multi-resolution modeling of a discrete stochastic process identifies causes of cancer,['https://www.semanticscholar.org/paper/Multi-resolution-modeling-of-a-discrete-stochastic-Yaari-Sherman/3d9a3486ca5ed6ab332f361f5440e147c8cc5e2f'],[{'Citations': 0}]
Discrete Graph Structure Learning for Forecasting Multiple Time Series,['https://www.semanticscholar.org/paper/Discrete-Graph-Structure-Learning-for-Forecasting-Shang-Chen/401930b2dc738a5a67d136bc9a2d04461c5bf93a'],[{'Citations': 0}]
A Diffusion Theory For Deep Learning Dynamics: Stochastic Gradient Descent Exponentially Favors Flat Minima,['https://www.semanticscholar.org/paper/A-Diffusion-Theory-For-Deep-Learning-Dynamics%3A-Flat-Xie-Sato/0d6b4c7bb6246ad6ddca0fa44b19f1bda43e91fa'],"[{'Citations': 12, 'Highly Influential Citations': '3', 'Background Citations': '7', 'Methods Citations': '3', 'Results Citations': '1'}]"
