Dissecting Hessian: Understanding Common Structure of Hessian in Neural Networks,,['https://www.semanticscholar.org/paper/Dissecting-Hessian%3A-Understanding-Common-Structure-Wu-Zhu/ba0d43cb63b83a95cf56d13213b07d42f0c3bb40'],"['https://www.semanticscholar.org/author/Chenwei-Wu/2277966', 'https://www.semanticscholar.org/author/Xingyu-Zhu/2116313156', 'https://www.semanticscholar.org/author/Rong-Ge/144804200', 'https://www.semanticscholar.org/author/Yikai-Wu/9287556', 'https://www.semanticscholar.org/author/Annie-Wang/2116561884']"
Identifying Physical Law of Hamiltonian Systems via Meta-Learning,,['https://www.semanticscholar.org/paper/Identifying-Physical-Law-of-Hamiltonian-Systems-via-Lee-Yang/87174a4df7567e52771d15f949d459791145379b'],"['https://www.semanticscholar.org/author/Haesang-Yang/11325568', 'https://www.semanticscholar.org/author/Seungjun-Lee/2108154935', 'https://www.semanticscholar.org/author/W.-Seong/2517631']"
Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,,['https://www.semanticscholar.org/paper/Retrieval-Augmented-Generation-for-Code-via-Hybrid-Liu-Chen/ceaff192479db6faee58ae88e053b0b319cf1893'],"['https://www.semanticscholar.org/author/J.-Siow/30163639', 'https://www.semanticscholar.org/author/Xiaofei-Xie/49419199']"
Accurate Learning of Graph Representations with Graph Multiset Pooling,,['https://www.semanticscholar.org/paper/Accurate-Learning-of-Graph-Representations-with-Baek-Kang/2db94114aae1bac3514e31e356467275b8896d55'],"['https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904', 'https://www.semanticscholar.org/author/Minki-Kang/120434407', 'https://www.semanticscholar.org/author/Jinheon-Baek/90765684']"
Learning to Recombine and Resample Data For Compositional Generalization,,['https://www.semanticscholar.org/paper/Learning-to-Recombine-and-Resample-Data-for-Aky%C3%BCrek-Akyurek/ebfd227423cc7f2a23b89d16063dc1eb5deec63f'],"['https://www.semanticscholar.org/author/Ekin-Aky%C3%BCrek/1992708068', 'https://www.semanticscholar.org/author/Afra-Feyza-Akyurek/1992665109', 'https://www.semanticscholar.org/author/Jacob-Andreas/2112400']"
Refining Deep Generative Models via Discriminator Gradient Flow,,['https://www.semanticscholar.org/paper/Refining-Deep-Generative-Models-via-Discriminator-Ansari-Ang/4278306d0ef6105707505bb2b3d6e8a70282bd40'],"['https://www.semanticscholar.org/author/Harold-Soh/5489509', 'https://www.semanticscholar.org/author/Abdul-Fatir-Ansari/30463274', 'https://www.semanticscholar.org/author/Ming-Liang-Ang/2030529856']"
CopulaGNN: Towards Integrating Representational and Correlational Roles of Graphs in Graph Neural Networks,,['https://www.semanticscholar.org/paper/CopulaGNN%3A-Towards-Integrating-Representational-and-Ma-Chang/7e2cffd6341939869a3e48c78e06c738d18f7d60'],"['https://www.semanticscholar.org/author/Xuefei-Zhang/2108095869', 'https://www.semanticscholar.org/author/Qiaozhu-Mei/1743469', 'https://www.semanticscholar.org/author/B.-Chang/144757437']"
On Statistical Bias In Active Learning: How and When to Fix It,,['https://www.semanticscholar.org/paper/On-Statistical-Bias-In-Active-Learning%3A-How-and-To-Farquhar-Gal/1dbbc8935951a5f1847338a775b66c07a1e5f4c8'],"['https://www.semanticscholar.org/author/Tom-Rainforth/2358794', 'https://www.semanticscholar.org/author/Sebastian-Farquhar/33859827', 'https://www.semanticscholar.org/author/Y.-Gal/2681954']"
Unsupervised Discovery of 3D Physical Objects from Video,,['https://www.semanticscholar.org/paper/Unsupervised-Discovery-of-3D-Physical-Objects-from-Du-Smith/a5a28056d84506f9bc4f3245e961e9d2f943e915'],"['https://www.semanticscholar.org/author/Tomer-Ulman/1832380271', 'https://www.semanticscholar.org/author/J.-Tenenbaum/1763295', 'https://www.semanticscholar.org/author/Jiajun-Wu/3045089', 'https://www.semanticscholar.org/author/Kevin-A.-Smith/34771975', 'https://www.semanticscholar.org/author/Yilun-Du/15394275']"
CPT: Efficient Deep Neural Network Training via Cyclic Precision,,['https://www.semanticscholar.org/paper/CPT%3A-Efficient-Deep-Neural-Network-Training-via-Fu-Guo/954da83a8b981ec1f4d33326889169551c9967a6'],"['https://www.semanticscholar.org/author/Han-Guo/48843025', 'https://www.semanticscholar.org/author/Y.-Fu/108145103', 'https://www.semanticscholar.org/author/Yingyan-Lin/3138925']"
